Date-Time,Price,Market Cap,Volume,Circulating Supply
2021-11-08T19:11:32,4787.71,2926070121601,18190080843,118265874.94 ETH
2021-11-08T19:12:39,4787.71,2926070121601,18190080843,118265874.94 ETH
2021-11-08T19:19:03,4794.73,2927421121248,18196730392,118265874.94 ETH
2021-11-08T19:20:16,4795.86,2926605283317,18207811547,118265874.94 ETH
2021-11-08T19:21:01,4795.86,2926605283317,18207811547,118265874.94 ETH
2021-11-08T22:41:03,4815.83,2940200692708,19376993317,118268088.69 ETH
2021-11-08T22:53:24,4811.98,2933730368918,19367880910,118268088.69 ETH
2021-11-08T22:54:07,4811.98,2933730368918,19367880910,118268088.69 ETH
2021-11-08T23:04:15,4813.92,2938898855862,19374167794,118268088.69 ETH
2021-11-08T23:14:21,4815.65,2939320936653,19329838043,118268088.69 ETH
2021-11-08T23:24:28,4812.75,2943116256211,19311533571,118268088.69 ETH
2021-11-08T23:34:36,4820.92,2938572619050,19351018178,118268088.69 ETH
2021-11-08T23:44:44,4804.83,2936228329948,19326511021,118268088.69 ETH
2021-11-08T23:54:51,4797.32,2934079591261,19351318753,118268088.69 ETH
2021-11-09T00:04:59,4788.85,2933502592350,19389577109,118268088.69 ETH
2021-11-09T00:15:06,4792.27,2932347018724,19373155967,118268088.69 ETH
2021-11-09T00:25:13,4790.37,2934433777961,19408493292,118269191.87 ETH
2021-11-09T00:35:22,4795.02,2936719952463,19454927921,118269191.87 ETH
2021-11-09T00:45:29,4804.30,2940140657299,19568439862,118269191.87 ETH
2021-11-09T00:55:36,4805.23,2940660942043,19502364734,118269191.87 ETH
2021-11-09T01:05:44,4809.24,2944840811571,19514405584,118269191.87 ETH
2021-11-09T01:15:51,4813.63,2943767241242,19446537355,118269191.87 ETH
2021-11-09T01:25:57,4811.93,2942321599621,19427771477,118269191.87 ETH
2021-11-09T01:36:05,4817.90,2942486811451,19431532760,118269191.87 ETH
2021-11-09T01:46:12,4815.94,2942628072486,19414046617,118269191.87 ETH
2021-11-09T01:56:19,4812.21,2945542310103,19344184078,118269191.87 ETH
2021-11-09T02:06:27,4819.81,2945904538569,19319130047,118269191.87 ETH
2021-11-09T02:16:34,4819.64,2948957124744,19167846094,118269191.87 ETH
2021-11-09T02:26:40,4819.16,2950132013170,19098352074,118270252.75 ETH
2021-11-09T02:36:48,4814.21,2945199934680,19103015341,118270252.75 ETH
2021-11-09T02:46:55,4808.36,2944843969752,19155970970,118270252.75 ETH
2021-11-09T02:57:02,4806.00,2941167848101,19150589277,118270252.75 ETH
2021-11-09T03:07:09,4801.37,2937703869683,19150449156,118270252.75 ETH
2021-11-09T03:17:17,4796.19,2933776383009,19172039662,118270252.75 ETH
2021-11-09T03:27:24,4801.79,2934191917439,19205683684,118270252.75 ETH
2021-11-09T03:37:31,4785.17,2929841833661,19258208861,118270252.75 ETH
2021-11-09T03:47:38,4771.68,2920203295223,19356395926,118270252.75 ETH
2021-11-09T03:57:45,4766.64,2920119375485,19430118775,118270252.75 ETH
2021-11-09T04:07:53,4775.41,2925169756847,19469759667,118270252.75 ETH
2021-11-09T04:18:01,4780.31,2920678633372,19520680760,118270252.75 ETH
2021-11-09T04:28:09,4770.85,2914575719838,19579414966,118271323.25 ETH
2021-11-09T04:38:16,4776.99,2920354674994,19635976418,118271323.25 ETH
2021-11-09T04:48:23,4790.57,2924315087448,19712808544,118271323.25 ETH
2021-11-09T04:58:30,4786.85,2922057749972,19736297490,118271323.25 ETH
2021-11-09T05:08:38,4792.37,2922532540559,19727579201,118271323.25 ETH
2021-11-09T05:18:44,4803.66,2933950192202,19747458813,118271323.25 ETH
2021-11-09T05:28:52,4808.00,2934441026948,19763907331,118271323.25 ETH
2021-11-09T05:38:59,4797.43,2930001881019,19786243152,118271323.25 ETH
2021-11-09T05:49:07,4806.72,2936161377395,19839094895,118271323.25 ETH
2021-11-09T05:59:13,4807.31,2938529654552,19842491223,118271323.25 ETH
2021-11-09T06:09:21,4808.80,2942605700506,19857687670,118271323.25 ETH
2021-11-09T06:19:28,4808.04,2940612057223,19796387869,118272412.44 ETH
2021-11-09T06:29:35,4805.03,2937754998609,19795444120,118272412.44 ETH
2021-11-09T06:39:43,4809.85,2939042781097,19820660304,118272412.44 ETH
2021-11-09T06:49:51,4823.71,2945830310745,19935614569,118272412.44 ETH
2021-11-09T06:59:58,4811.91,2932447129508,19979142504,118272412.44 ETH
2021-11-09T07:10:11,4794.85,2905618208638,20023780843,118272412.44 ETH
2021-11-09T07:20:28,4786.06,2908193037063,20266137883,118272412.44 ETH
2021-11-09T07:30:35,4807.53,2914793236439,20520878037,118272412.44 ETH
